config,h_elec_cm,n_ports,TBR_total,TBR_total_stddev,delta_vs_no_electrode_percent,match_ratio,tbr_in_lipb_ring,tbr_in_be_ring,tbr_in_structure,peak_r,peak_z,peak_value,runtime_s
00_baseline_no_electrode,0.001,0,1.8382919304164356,0.009101756767535668,0.4201863004717342,1.0000000000000049,1.415644109522343,0.05531951784425238,0.26333242680310087,19.0,14.0,0.009206571957993077,25.680081129074097
01_h_elec_2cm_Cu,2.0,0,1.801380722210845,0.00899957812741491,-1.596158515741008,0.9999917381051502,1.397024141711722,0.054751091294830065,0.2467003972514131,15.0,14.0,0.009503134002312855,23.633955001831055
02_h_elec_5cm_Cu,5.0,0,1.7446542205198436,0.008071964964525757,-4.694951353663081,0.999959529374588,1.3439189120610981,0.05456884907261234,0.2440719882308623,19.0,14.0,0.009860203817695687,24.165833950042725
03_h_elec_10cm_Cu,10.0,0,1.6338935592134463,0.006220295962417981,-10.745462732795463,0.9999600638069281,1.2345565511897565,0.054862589223056785,0.24254136222526948,23.0,14.0,0.010699774474896067,24.9394109249115
04_h_elec_5cm_plus_1port_d2cm,5.0,1,1.749625770545976,0.007223000913839535,-4.42337099606818,0.9999540794706685,1.347288247195654,0.054802100286071305,0.24497574593234767,19.0,14.0,0.009910908763971275,24.39607071876526
